id,tenant_id,unit_id,monthly_rent,due_day,start_date,end_date,security_deposit,advance_months,is_active
145,173,195,24585.00,10,2023-05-31,,24585.00,1,True
146,174,196,12967.00,10,2023-05-31,,12967.00,2,True
147,175,197,13413.00,15,2023-05-31,,13413.00,1,True
148,176,198,12762.00,10,2023-05-31,,12762.00,1,True
149,177,199,12918.00,10,2023-05-31,,12918.00,1,True
150,178,200,12073.00,5,2023-05-31,,12073.00,2,True
151,179,201,22061.00,10,2023-05-31,,22061.00,1,True
152,180,202,8991.00,10,2023-05-31,,8991.00,1,True
153,181,203,8589.00,5,2023-05-31,,8589.00,1,True
154,182,204,15421.00,10,2023-05-31,,15421.00,1,True
155,183,205,20483.00,15,2023-05-31,,20483.00,2,True
156,184,206,16423.00,15,2023-05-31,,16423.00,1,True
157,185,207,16615.00,10,2023-05-31,,16615.00,1,True
158,186,208,18790.00,15,2023-05-31,,18790.00,1,True
159,187,209,22110.00,5,2023-05-31,,22110.00,1,True
160,188,210,13039.00,5,2023-05-31,,13039.00,2,True
161,189,211,8100.00,10,2023-05-31,,8100.00,2,True
162,190,212,19048.00,5,2023-05-31,,19048.00,1,True
163,191,213,15487.00,15,2023-05-31,,15487.00,2,True
164,192,214,9196.00,10,2023-05-31,,9196.00,2,True
165,193,215,18241.00,10,2023-05-31,,18241.00,1,True
166,194,216,15261.00,10,2023-05-31,,15261.00,1,True
167,195,217,20093.00,15,2023-05-31,,20093.00,2,True
168,196,218,8811.00,10,2023-05-31,,8811.00,1,True
169,197,219,12907.00,15,2023-05-31,,12907.00,2,True
170,198,220,21005.00,10,2023-05-31,,21005.00,2,True
171,199,221,9680.00,5,2023-05-31,,9680.00,1,True
172,200,222,14372.00,15,2023-05-31,,14372.00,1,True
173,201,223,24361.00,5,2023-05-31,,24361.00,2,True
174,202,224,15982.00,10,2023-05-31,,15982.00,2,True
175,203,225,11675.00,15,2023-05-31,,11675.00,1,True
176,204,226,10789.00,15,2023-05-31,,10789.00,2,True
177,205,227,8325.00,5,2023-05-31,,8325.00,1,True
178,206,228,13339.00,15,2023-05-31,,13339.00,2,True
179,207,229,12137.00,10,2023-05-31,,12137.00,1,True
180,208,230,18152.00,15,2023-05-31,,18152.00,1,True
181,209,231,10986.00,10,2023-05-31,,10986.00,2,True
182,210,232,15393.00,15,2023-05-31,,15393.00,2,True
183,211,233,17289.00,10,2023-05-31,,17289.00,2,True
